source,dir,name,slug,description,home_relative,sha256,lines,bytes,is_link,generic_description
codex,ab-test-analysis,AB 测试 分析,ab-test-analysis,无障碍合规（WCAG）：ARIA、键盘导航与读屏适配,.codex\skills\ab-test-analysis\SKILL.md,a2eaad4b7cd6bf7f4bac9e23df6f4bf1a66581b2381ed73afb610690463463c1,84,3416,False,False
codex,academic-paper,学术 论文 — 学术 论文 编写 Agent Team,academic-paper,学术论文写作流水线：大纲、修订、引用、格式与质量检查,.codex\skills\academic-paper\SKILL.md,d062a6bfe54362588aef8410276946b2fb2c3b9612f223193b1d24e5c346e691,439,34559,False,False
codex,academic-paper-reviewer,学术 论文 审稿,academic-paper-reviewer,模拟多视角学术审稿，输出审稿意见与修订建议,.codex\skills\academic-paper-reviewer\SKILL.md,fb3a1ec41f88958b25f4f01a12841b22b8172d1eb6b1c29fae59e2778b31b497,414,23861,False,False
codex,academic-pipeline,学术 流水线 v3.10.0 — Full 学术 研究 工作流 Orche...,academic-pipeline,学术论文写作流水线：大纲、修订、引用、格式与质量检查,.codex\skills\academic-pipeline\SKILL.md,5c8b58b02436544bf6ba47adafbc8f9077f903b27cd8675170c283246b5755e2,610,36091,False,False
codex,accessibility-wcag,无障碍 & WCAG,accessibility-wcag,无障碍合规（WCAG）：ARIA、键盘导航与读屏适配,.codex\skills\accessibility-wcag\SKILL.md,8441167f2d00b91f05de52deb354acb4809768d77c2101b89c4e8d4a81ecd42d,218,5549,False,False
codex,agent-introspection-debugging,Agent 内省 调试,agent-introspection-debugging,Agent 内省 调试：辅助完成相关分析、生成或审查任务,.codex\skills\agent-introspection-debugging\SKILL.md,54b85c1554109ae7ce04e185b4a934adac894986c7616fdc29b878ffa0d0ff5a,152,5487,False,True
codex,agent-sort,当 到 使用,agent-sort,当 到 使用：适用于安装配置、技能管理等场景,.codex\skills\agent-sort\SKILL.md,693e113335842af69afd3584a215ea230972d0c8a1996f67bde842253bc27adb,214,5698,False,True
codex,agent-verifier,Agent-审计,agent-verifier,Skill 工程：编写/验证 SKILL.md 与触发条件设计,.codex\skills\agent-verifier\SKILL.md,34771a06152384ab700aed398f2099eb40075932135ee22fcd9b8c609e269ac6,19,855,False,False
codex,agentkit-seo,SEO 优化,agentkit-seo,SEO 优化：技术审计、页面元数据与结构化数据,.codex\skills\agentkit-seo\SKILL.md,312bf2cae7f571ca6fadd26d78d531e6c630d629a14174994ddd9fc9f1d3024c,59,3206,False,False
codex,ai-coding-ok,AI-编码-OK — PDCA 记忆 循环,ai-coding-ok,Skill 工程：编写/验证 SKILL.md 与触发条件设计,.codex\skills\ai-coding-ok\SKILL.md,6f916893ca88aa272421b38f7663cc5915b988a011fc0446edbf71087679326e,422,18480,False,False
codex,ai-delivery-gate,AI 交付 门禁,ai-delivery-gate,AI 交付 门禁,.codex\skills\ai-delivery-gate\SKILL.md,f0cbe06cafdf21cf3b0f529606994e564ed041a13fa41e97c734581a4a11132d,88,2771,False,False
codex,ai-product-ui-workflow,AI 产品 UI 工作流,ai-product-ui-workflow,AI Coding OS：产品设计、页面设计、UI设计、改版、dashboard、landing page、PRD转界面、AI产品工作流、产品...,.codex\skills\ai-product-ui-workflow\SKILL.md,81240cb31d0f3548dcd4736e946d1998c7ddccf089259e792cbc3e612cf09cdb,46,1448,True,False
codex,ai-prompt-engineering,AI Prompt 工程,ai-prompt-engineering,AI Prompt 工程：辅助完成相关分析、生成或审查任务,.codex\skills\ai-prompt-engineering\SKILL.md,ac731048074bcb3661ff8793abd34a4e594bbd9ee921ab50c674c6d8e6cca07f,333,15984,True,True
codex,ai-regression-testing,AI 回归 测试,ai-regression-testing,数据库/SQL： schema 设计、查询优化与迁移,.codex\skills\ai-regression-testing\SKILL.md,5b307ad6d6dc2b2659403e6589af727fafaa460ff4962673b9be35dfd388deca,384,11373,False,False
codex,ai-review,AI 代码 审查,ai-review,代码审查：质量、模式、安全与可维护性检查,.codex\skills\ai-review\SKILL.md,f9411b675106911ef263292bbc0fa7c09bc538551023f9a1ec99dc22e270ab59,175,7421,False,False
codex,analyze-feature-requests,分析 功能 Requests,analyze-feature-requests,分析 功能 Requests：辅助完成相关分析、生成或审查任务,.codex\skills\analyze-feature-requests\SKILL.md,f5fd71c94e945f804a5927b9f1cd38a2d8370427cd33cf4a6dbbf4e9da6b3e1d,51,2201,False,True
codex,ansoff-matrix,Ansoff Matrix,ansoff-matrix,Ansoff Matrix：辅助完成相关分析、生成或审查任务,.codex\skills\ansoff-matrix\SKILL.md,fe7127fc03b93f5f1a5db952efe644c4c12c3adbd745be015b47ef35845e4c83,169,5551,False,True
codex,anthropic-architect,多 Agent 编排,anthropic-architect,多 Agent 编排：子任务分发、汇总与验证闭环,.codex\skills\anthropic-architect\SKILL.md,78cbd3d687208fa68e3f427bbc7224d450f3fe3739edab05ee3584778baa74ee,572,14952,True,False
codex,anysearch,SEO 优化,anysearch,SEO 优化：技术审计、页面元数据与结构化数据,.codex\skills\anysearch\SKILL.md,afac02d264cfe4a2e46d71868345d001a845f6ab5da487d0ecc7164d6557ff6c,164,9366,False,False
codex,api-and-interface-design,API 与 接口 设计,api-and-interface-design,设计稳定 API/GraphQL 与模块公共契约、前后端边界,.codex\skills\api-and-interface-design\SKILL.md,2d0755afb98dcaeff58ae407b6338190b3a3323e5f5fd4d002f96ef4482a3c25,294,10151,False,False
codex,api-design-patterns,API 设计 模式,api-design-patterns,API 设计 模式：辅助完成相关分析、生成或审查任务,.codex\skills\api-design-patterns\SKILL.md,791c437fa3a1f0440b324134b57c850afdabb5c183d1dfa45001f13bfbe5a48d,176,4839,False,True
codex,article-writing,Article 编写,article-writing,Article 编写：辅助完成相关分析、生成或审查任务,.codex\skills\article-writing\SKILL.md,b9a444664832018c36935ea570da4b548b191ba1eb3256d3112c4c9026b43b40,84,2909,False,True
